,model,accuracy,timetaken,confusionmatrix
0,RandomForest,0.8990467937608319,1.2549145221710205,"[[480   2   2 105]
 [  1 539   0   0]
 [  0   0 590   0]
 [119   0   4 466]]"
1,Extra Tree,0.8981802426343154,0.5876684188842773,"[[471   7   3 108]
 [  1 539   0   0]
 [  0   0 590   0]
 [113   1   2 473]]"
2,Logistic Regression,0.5528596187175043,0.43718957901000977,"[[176 167 139 107]
 [ 91 314  93  42]
 [ 61 108 381  40]
 [ 49  70  65 405]]"
3,KNN,0.8392547660311959,0.09006667137145996,"[[355  51  54 129]
 [  0 540   0   0]
 [  0   0 590   0]
 [ 83  24  30 452]]"
4,LinearSVC,0.3279896013864818,1.339869737625122,"[[ 44 516   3  26]
 [  2 538   0   0]
 [ 17 572   0   1]
 [ 10 400   4 175]]"
5,GaussianNB,0.5667244367417678,0.010175228118896484,"[[212 207  87  83]
 [ 38 464  30   8]
 [ 69 207 270  44]
 [ 35 112  80 362]]"
6,SVC,0.5810225303292894,3.923525094985962,"[[169 180 130 110]
 [ 23 399  81  37]
 [ 31 147 374  38]
 [ 45  68  77 399]]"
7,Decision Tree,0.847053726169844,0.07429695129394531,"[[413  15   8 153]
 [  5 532   2   1]
 [  3   0 586   1]
 [148   6  11 424]]"
