,model,accuracy,timetaken,confusionmatrix
0,RandomForest,0.7773512476007678,0.4421381950378418,"[[480   0   0 106]
 [  2   1   0   0]
 [  2   0   0   0]
 [122   0   0 329]]"
1,Extra Tree,0.7792706333973128,0.3323171138763428,"[[485   0   0 101]
 [  2   1   0   0]
 [  2   0   0   0]
 [125   0   0 326]]"
2,Logistic Regression,0.753358925143954,0.15595769882202148,"[[468   0   0 118]
 [  3   0   0   0]
 [  2   0   0   0]
 [134   0   0 317]]"
3,KNN,0.7399232245681382,0.049323081970214844,"[[451   0   0 135]
 [  3   0   0   0]
 [  2   0   0   0]
 [131   0   0 320]]"
4,LinearSVC,0.6065259117082533,0.46122264862060547,"[[583   0   0   3]
 [  3   0   0   0]
 [  2   0   0   0]
 [402   0   0  49]]"
5,GaussianNB,0.738003838771593,0.009984493255615234,"[[449   0   0 137]
 [  3   0   0   0]
 [  2   0   0   0]
 [131   0   0 320]]"
6,SVC,0.7485604606525912,0.547358512878418,"[[459   0   0 127]
 [  3   0   0   0]
 [  2   0   0   0]
 [130   0   0 321]]"
7,Decision Tree,0.7284069097888676,0.02422928810119629,"[[442   4   0 140]
 [  2   1   0   0]
 [  2   0   0   0]
 [131   2   2 316]]"
